ID_Accident,Rue,Cause,Type_Vehicule,Profession_Conducteur,Gravite,Heure,Age_Conducteur,Sexe_Conducteur,Date,Annee,Mois,Mois_Nom,Jour_Semaine,Latitude,Longitude,Conditions_Meteo
ACC-00001,Boulevard du 20 Mai,Défaillance technique,Véhicule tourisme,Particulier,Dommages matériels,6,40,Homme,2020-04-06,2020,4,April,Lundi,3.864269053436714,11.517238307980946,Pluie
ACC-00002,Rue de Natchigal,Utilisation du téléphone,Taxi,Transporteur,Dommages matériels,19,26,Homme,2022-05-20,2022,5,May,Vendredi,3.862,11.519,Clair
ACC-00003,Avenue Amadou Ahidjo,Non-respect des priorités,Moto,Chauffeur professionnel,Dommages matériels,21,52,Femme,2023-10-25,2023,10,October,Mercredi,3.866,11.518,Clair
ACC-00004,Avenue Amadou Ahidjo,Infrastructure déficiente,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,18,74,Homme,2023-12-11,2023,12,December,Lundi,3.866,11.518,Clair
ACC-00005,Carrefour Poste Centrale,Excès de vitesse,Moto,Particulier,Dommages matériels,15,25,Homme,2020-09-13,2020,9,September,Dimanche,3.861742800875151,11.520971943019246,Clair
ACC-00006,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Autre,Blessures corporelles,17,27,Homme,2020-05-07,2020,5,May,Jeudi,3.861742800875151,11.520971943019246,Clair
ACC-00007,Carrefour Poste Centrale,Défaillance technique,Véhicule utilitaire,Particulier,Dommages matériels,16,28,Homme,2023-10-14,2023,10,October,Samedi,3.861742800875151,11.520971943019246,Clair
ACC-00008,Rue de Natchigal,Conduite en état d'ébriété,Moto,Particulier,Dommages matériels,22,18,Homme,2023-03-25,2023,3,March,Samedi,3.862,11.519,Clair
ACC-00009,Avenue Amadou Ahidjo,Défaillance technique,Véhicule tourisme,Particulier,Dommages matériels,1,21,Homme,2024-08-07,2024,8,August,Mercredi,3.866,11.518,Clair
ACC-00010,Avenue Amadou Ahidjo,Défaillance technique,Véhicule tourisme,Autre,Dommages matériels,6,47,Homme,2020-02-26,2020,2,February,Mercredi,3.866,11.518,Nuit
ACC-00011,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Transporteur,Blessures corporelles,14,33,Homme,2021-08-04,2021,8,August,Mercredi,3.861742800875151,11.520971943019246,Clair
ACC-00012,Rue de Natchigal,Défaillance technique,Véhicule utilitaire,Autre,Dommages matériels,2,63,Homme,2021-07-09,2021,7,July,Vendredi,3.862,11.519,Clair
ACC-00013,Avenue de l'Indépendance,Conduite en état d'ébriété,Taxi,Chauffeur professionnel,Blessures corporelles,3,30,Homme,2021-12-24,2021,12,December,Vendredi,3.863,11.521,Clair
ACC-00014,Carrefour J'aime mon pays,Conduite en état d'ébriété,Taxi,Chauffeur professionnel,Dommages matériels,18,41,Homme,2024-09-06,2024,9,September,Vendredi,3.8659711733356867,11.515636718507722,Brouillard
ACC-00015,Carrefour Poste Centrale,Non-respect des priorités,Véhicule tourisme,Particulier,Dommages matériels,14,21,Homme,2021-10-14,2021,10,October,Jeudi,3.861742800875151,11.520971943019246,Clair
ACC-00016,Carrefour Poste Centrale,Infrastructure déficiente,Véhicule tourisme,Transporteur,Dommages matériels,16,33,Homme,2023-01-04,2023,1,January,Mercredi,3.861742800875151,11.520971943019246,Clair
ACC-00017,Carrefour J'aime mon pays,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,19,36,Homme,2020-06-06,2020,6,June,Samedi,3.8659711733356867,11.515636718507722,Pluie
ACC-00018,Carrefour Pharmacie du Soleil,Conduite en état d'ébriété,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,17,18,Homme,2020-03-25,2020,3,March,Mercredi,3.8671058413609636,11.516773975142678,Brouillard
ACC-00019,Boulevard du 20 Mai,Non-respect des priorités,Taxi,Transporteur,Dommages matériels,18,22,Homme,2020-11-17,2020,11,November,Mardi,3.864269053436714,11.517238307980946,Brouillard
ACC-00020,Carrefour J'aime mon pays,Utilisation du téléphone,Moto,Chauffeur professionnel,Dommages matériels,19,44,Homme,2020-11-04,2020,11,November,Mercredi,3.8659711733356867,11.515636718507722,Clair
ACC-00021,Avenue Amadou Ahidjo,Non-respect des priorités,Véhicule utilitaire,Particulier,Dommages matériels,15,43,Homme,2024-04-02,2024,4,April,Mardi,3.866,11.518,Brouillard
ACC-00022,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,17,18,Femme,2020-10-10,2020,10,October,Samedi,3.861742800875151,11.520971943019246,Pluie
ACC-00023,Carrefour J'aime mon pays,Excès de vitesse,Bus,Particulier,Blessures corporelles,5,29,Homme,2022-12-01,2022,12,December,Jeudi,3.8659711733356867,11.515636718507722,Nuit
